哈密瓜 西瓜
纸巾 手帕
橙子 橘子
辣椒 芥末
奖牌 金牌
脚踏车 自行车
汉堡包 肉夹馍
孟飞 乐嘉
生活费 零花钱
饺子 包子
两小无猜 青梅竹马
盒子 箱子
菠萝蜜 榴莲
薰衣草 满天星
警察 捕快
冠军 第一
谢娜 李湘
甄子丹 李连杰
包青天 狄仁杰
晨光 真彩
果粒橙 鲜橙多
饭桶 饭碗
公交 地铁
降龙十八掌 九阴白骨爪
海豚 海狮
动物 植物
美人心计 倾世皇妃
双胞胎 龙凤胎
龙凤呈祥 鸳鸯戏水
谢娜张杰 邓超孙俪
赵敏 黄蓉
何炅 李维嘉
蜘蛛侠 蝙蝠侠
过山车 碰碰车
老佛爷 老天爷
钢笔 中性笔
红烧牛肉面 香辣牛肉面
麦克风 扩音器
富二代 高富帅
语无伦次 词不达意
鼠目寸光 井底之蛙
面包 蛋糕
反弹琵琶 乱弹棉花
小沈阳 宋小宝
金庸 古龙
宫锁心玉 宫锁珠帘
江南style 最炫民族风
洗衣粉 皂角粉
手机 座机
结婚 订婚
郭德纲 周立波
绿茶 苦茶
端午节 中秋节
大白兔 金丝猴
丑小鸭 灰姑娘
卷发 直发
麻婆豆腐 皮蛋豆腐
保安 保镖
脸盆 水桶
鱼香肉丝 四喜丸子
蝴蝶 蜜蜂
孟非 乐嘉
白菜 生菜
夏家三千金 爱情睡醒了
婚纱 喜服
唇膏 口红
鹅毛 鸡毛
剩女 御姐
新年 跨年
班主任 辅导员
十面埋伏 四面楚歌
那英 韩红
董永 许仙
魔术师 魔法师
梁山伯与祝英台 罗密欧与朱丽叶
妈妈 娘
成吉思汗 努尔哈赤
神雕侠侣 天龙八部
森马 以纯
牛奶 豆浆
皇帝 太子
高跟鞋 增高鞋
豆浆 牛奶
作文 论文
贵妃醉酒 黛玉葬花
同学 同桌
口香糖 木糖醇
男朋友 前男友
吉他 琵琶
玫瑰 月季
蝴蝶 飞蛾
近视眼镜 隐形眼镜
干洗机 甩干机
楼梯 电梯
裸婚 闪婚
烤肉 涮肉
气泡 水泡
金丝猴 大白兔奶糖
鸡蛋 鸭蛋
